nb requete;questions;couts;temps;date;requete_sql
1;donne moi le ca cartes;0.012710450000000002;44.804388999938965;01/10/2025 11:10;
1;donne moi le ca cartes et le ca wave;0.0118903;39.98458528518677;01/10/2025 11:12;
1;donne moi le ca cartes;0.013055250000000001;43.39153552055359;01/10/2025 11:14;
1;Donne moi le Ca des pass internationaux en 2025;0.008771999999999999;17.190034866333008;01/10/2025 11:28;
1;Donne moi le Ca des pass internationaux en 2025;0.008941999999999999;20.679652214050293;01/10/2025 11:54;
1;Quelle est l'évolution du ca data par type de souscription;0.0134282;41.51950407028198;01/10/2025 11:56;
1;Donne moi le Ca des pass internationaux en 2025;0.00898595;20.547045707702637;01/10/2025 12:05;
1;Donne moi le Ca des pass internationaux en 2025;0.0123851;41.406567096710205;01/10/2025 12:08;
1;Donne moi le Ca des pass internationaux en 2025;0.013909050000000001;52.2938072681427;01/10/2025 12:17;
1;Donne moi le Ca des souscriptions des pass internationaux en 2025;0.012841949999999998;53.87252593040466;01/10/2025 12:20;
1;Donne moi le Ca des pass internationaux en 2025;0.01226805;46.685962200164795;01/10/2025 12:23;
1;Donne moi le Ca des pass internationaux en 2025;0.011507950000000001;43.84779191017151;01/10/2025 12:29;
1;Donne moi le Ca des pass internationaux en 2025;0;43.008439779281616;01/10/2025 12:46;
1;Donne moi le Ca des pass internationaux en 2025;0;39.04051208496094;01/10/2025 12:54;
1;Donne moi le Ca illiflex;0;59.60921287536621;01/10/2025 12:58;
1;Donne moi le Ca international;0;57.295838832855225;01/10/2025 13:00;
1;Donne moi la répartition du Ca recharge par DRV;0;54.88320851325989;01/10/2025 13:02;
1;Donne moi les types et marques d’appareils les plus utilisés par zone;0;26.061373710632324;01/10/2025 14:12;
1;Donne moi les types et marques d’appareils les plus utilisés par zone;0;28.484651565551758;01/10/2025 14:17;
1;Donne moi les types et marques d’appareils les plus utilisés par zone;0.015485150000000001;48.52485680580139;01/10/2025 14:22;
1;Donne moi les types et marques d’appareils les plus utilisés par zone;0.012911249999999999;64.81962490081787;01/10/2025 14:29;
1;Donne moi les types et marques d’appareils les plus utilisés par zone;0.012946899999999999;35.211283683776855;01/10/2025 14:39;
1;Donne moi les types et model d’appareils les plus utilisés par zone;0.01505425;51.59167146682739;01/10/2025 14:42;
1;Donne moi les types et marques d’appareils les plus utilisés par département;0.01525855;54.14749312400818;01/10/2025 14:50;
1;Donne moi les types et model d’appareils les plus utilisés par les clients par département;0;33.72934603691101;01/10/2025 14:54;
1;Donne moi les modèles d’appareils les plus utilisés par département;0;22.76462149620056;01/10/2025 14:57;
1;Donne moi le Top 10 des communes ayant généré le plus de CA WAVE en 2025;0;59.36129069328308;01/10/2025 15:08;
1;Donne moi le Top 10 des communes ayant généré le plus de CA WAVE en 2025;0;43.79621648788452;01/10/2025 15:10;
1;Quel est le volume total d’appels sortants vers Expresso en 2024 ;0;49.92448401451111;01/10/2025 15:11;
1;Quel est le chiffre d’affaires data total pour les clients JEUNES en 2025;0;38.35085487365723;01/10/2025 15:13;
1;Quelle formule tarifaire a génèré le plus de trafic 4G sur le mois de Janvier;0;44.29412865638733;01/10/2025 15:15;
1;quelle formule tarifaire a généré le plus de trafic 4G en Janvier ;0;62.54241108894348;01/10/2025 15:21;
1;Quel est le montant total des paiements SENELEC;0;17.985103368759155;01/10/2025 15:23;
1;Quel est le montant total des paiements SENELEC sur l'application OM ou Maxit;0;55.01362156867981;01/10/2025 15:26;
1;Quel est le cadeau le plus distribué en mai 2025;0;49.954612731933594;01/10/2025 15:30;
1;je veux le CA hors taxe;0;37.558804750442505;01/10/2025 15:32;
1;donne moi le parc des clients sargal;0;51.47015953063965;01/10/2025 15:34;
1;Quelle est l'évolution du trafic data;0;48.212777614593506;01/10/2025 15:37;
1;Donne moi le ca illiflex de Maxit;0;58.8403434753418;01/10/2025 15:56;
1;Donne moi le ca illiflex et data de Maxit;0;68.14061522483826;01/10/2025 16:07;
1;Donne-moi le nombre d’abonnés ayant souscrit à ILLIMIX JOUR 500F sur les 3 derniers mois;0;48.86610460281372;01/10/2025 16:13;
1;Donne moi le ca illiflex et data généré par l'application Maxit;0;41.65614104270935;01/10/2025 16:15;
1;donne moi le ca des achats data sur l'application maxit;0;45.23374104499817;01/10/2025 16:18;
1;Quels sont les flux voix sortants de Dakar par opérateur;0;39.71620774269104;01/10/2025 16:21;
1;donne moi le parc des takers de l'illimix 1300 DATA sur le mois de juin;0;51.536911964416504;01/10/2025 16:25;
1;donne moi le parc des takers de l'illimix 1300  sur le mois de juin;0;56.41846013069153;01/10/2025 16:33;
1;donne moi le ca illimix;0;50.674952268600464;01/10/2025 16:36;
1;Quel est l'évolution du Chiffre d'affaire entre Janvier et Juin 2025;0;54.948121309280396;02/10/2025 09:32;
1;Quel est l'évolution du Chiffre d'affaire entre Janvier et Juin 2025;0;56.82097291946411;02/10/2025 09:35;
1;Quel est l'évolution du Chiffre d'affaire entre Janvier et Juin 2025;0;48.10172200202942;02/10/2025 09:40;
1;je veux la segmentation des recharges des clients par départements en 2025;0;58.837632179260254;02/10/2025 09:43;
1;Quel est la variation du Ca entre 2 mois consécutifs en 2025;0;64.5411684513092;02/10/2025 09:52;
1;donne moi le parc actif Orange du mois Janvier;0;56.61341905593872;02/10/2025 09:56;
